"�__SITE_NAME","SITE_ID","Average_of_LATITUD","Average_of_LONGITUD","Nodo_HFC"
"Barrio San Francisco","BSF",-17.85608,-63.154,"SCZ928"
"Barrio San Gabriel","BSG",-17.37858,-66.20253,""
"Barrio San Jorge","BSJ",-21.55198,-64.69323,"TRJ212"
"Barrio San Luis","BSL",-21.55552,-64.7118,"TRJ151"
"Barrio Santa Cruz 2","B2K",-17.83838,-63.21709,"SCZ818"
"Barrio Sirari","BSR",-17.76722,-63.20521,"SCZ021"
"Barrio Sprienfiel","BSP",-17.8487,-63.18316,"SCZ813"
"Barrio Telchi","BTC",-17.833,-63.2338,"SCZ714"
"Barrio Totai","BTI",-17.73796,-63.15259,"SCZ105"
"Barrio Tropical","BTR",-17.7442,-63.18846,"SCZ098"
"Barrio Universitario","BUN",-17.44081,-66.14194,"CBB145"
"Barrio Universitario 2","BU2",-17.44972,-66.15094,"CBB052"
"Barrio Vallegrande","BVG",-17.81383,-63.22996,"SCZ706"
"Basilio","BAS",-18.12745,-63.19335,""
"Batallas","BAT",-16.30245,-68.52708,""
"Baures","BAU",-13.65358,-63.69201,""
"Bautista Saavedra","BSA",-16.48119,-68.25064,"EAL180"
"Bautista Saavedra 2","BS2",-16.48416,-68.28691,""
"Belen","BEN",-19.85483,-65.58598,""
"Belen de Urmiri","BDU",-19.38371,-66.06183,""
"Bella Vista","BEV",-16.52776,-68.09518,"LPZ033"
"Bella Vista Rural","BVR",-21.9234,-63.651,""
"Berea","BER",-17.84167,-63.22786,"SCZ821"
"Bermejo","BJO",-22.73377,-64.33798,""
"Bermejo 2","BER2",-22.72525,-64.34711,""
"Bermejo 4","BER4",-22.72713,-64.3318,""
"Betanzos","BET",-19.5497,-65.44924,""
"Bibosi","BIB",-17.91655,-63.25059,""
"Bimodal","BIM",-17.78802,-63.1572,""
"Blacutt","BLA",-17.79468,-63.18135,"SCZ084"
"Blanca Flor (San Lorenzo)","BFL",-11.7148,-66.93538,""
"Bolivar","BOL",-17.78378,-63.17731,"SCZ1010"
"Bolivar","SCR1",-19.04456,-65.25373,"SRE145"
"Bolivar Rural","BOLR",-17.97459,-66.54622,""
"Bolivision","BLV",-17.79471,-63.16419,"SCZ074"
"Bolonia","BLG",-16.52113,-68.09137,""
"Bosque","BOSQ",-17.32828,-66.19407,"CBB419"
"Boyuibe","BOY",-20.4347,-63.2834,""
"Brigida","BRI",-17.75475,-63.19414,"SCZ016"
"Buen Retiro","BRE",-17.28737,-63.71512,""
"Buena Fe","BFE",-17.61602,-63.14576,""
"Buena Vista","BVT",-17.46347,-63.6675,""
"Buena Vista CBBA","BTA",-17.46519,-66.15152,""
"Bueno","BUE",-16.49447,-68.13286,""
"Bulo Bulo","BUL",-17.24992,-64.3669,""
"Bustillos","BST",-19.05223,-65.264,"SRE153"
"Cabezas","CAB",-18.78914,-63.31344,""
"Caigua","CAIG",-21.16427,-63.42056,""
"Cainco","CAI",-17.78849,-63.17874,"SCZ1007"
"Cainco SCR","CSC",-19.04704,-65.25878,""
"Cairoma","CAIR",-16.90864,-67.55793,""
"Caiza D","CZD",-20.0087,-65.65908,""
"Caiza Estación","CZE",-21.79866,-63.56123,""
"Cajuata","CJT",-16.6642,-67.19784,""
"Cala Cala","CLC",-17.36667,-66.16417,"CBB322"
"Calacoto","CLT",-16.54607,-68.0769,"LPZ012"
"Calacoto Rural","CLTR",-17.28319,-68.63637,""
"Calama","CLA",-17.83341,-63.22703,"SCZ819"
"Calamarca","CAL",-16.90242,-68.12631,""
"Calizaya","CLZ",-16.19261,-67.18162,""
"Calle 27 de Abril","C27",-16.48117,-68.11515,"LPZ381"
"Calle Arica","CAC",-17.97831,-67.10452,"ORU189"
"Calle Bustamante","CBT",-16.50268,-68.14742,"LPZ540"
"Calle Camacho","CCM",-17.96614,-67.11586,"ORU093"
"Calle Colon 2","COL2",-19.04946,-65.26275,""
"Calle Comercio","CIO",-22.01901,-63.67872,"YCB005"
"Calle Cumana","CCU",-16.50808,-68.14508,"LPZ558"
"Calle General Lanza","CGL",-16.51195,-68.13397,"LPZ116"
"Calle Honduras","CHD",-17.40157,-66.15165,""
"Calle Iquique","CIQ",-17.96944,-67.10053,"ORU182"
"Calle Km 17","K17",-16.50784,-68.1397,"LPZ541"
"Calle La Madrid","LMD",-21.5355,-64.7298,"TRJ060"
"Calle Las Violetas","VIO",-17.36359,-66.15312,"CBB315"
"Calle Loa","CLL",-19.04636,-65.26203,""
"Calle Manrique Oeste","MOE",-19.57272,-65.77352,"PTS058"
"Calle Moldes","MLD",-17.78857,-63.17447,"SCZ1008"
"Calle Murguia","CMU",-17.9726,-67.11227,""
"Calle Potosí","CPO",-17.35152,-63.25502,"MON005"
"Calle Romulo Mendoza","CRM",-14.83545,-64.89664,""
"Calle Seoane","CSE",-17.77991,-63.18245,"SCZ1019"
"Calle Soria Galvarro","GVR",-17.96652,-67.11201,""
"Calle Suipacha","CSU",-21.52098,-64.72632,"TRJ016"
"Calvario","CLV",-17.41137,-66.28228,"QLL070"
"Calvario La Paz","CPZ",-16.48722,-68.13531,"LPZ250"
"Camacho","CAM",-16.4991,-68.13466,""
"Camargo","CGO",-20.64736,-65.21464,""
"Camino a Viacha","CVH",-16.61796,-68.26414,""
"Camino Caranda","CCR",-17.44666,-63.52586,""
"Camino Laja 2","CLJ2",-16.51241,-68.28037,""
"Camino Liriuni","CALI",-17.31988,-66.28256,""
"Camino San Andres","CSA",-21.56254,-64.80077,""
"Camiri","CMR",-20.03833,-63.52553,""
"Camiri Sur","CAS",-20.04397,-63.51908,""
"Campamento Paraiviri","CPV",-19.60188,-65.74206,""
"Campana","CAA",-17.8262,-63.12228,"SCZ202"
"Campo Ferial","CFE",-17.4285,-66.12349,"CBB153"
"Campos del Este","CDES",-17.80298,-63.06963,""
"Campus Universitario","UNV",-17.773,-63.195,"SCZ018"
"Canada El Carmen","CDC",-17.81625,-63.15007,"SCZ177"
"Canada Larga","CLG",-17.64178,-62.48753,""
"Canada Pailita","CPA",-17.82002,-63.14355,"SCZ180"
"Canal Cotoca","CCO",-17.77683,-63.15958,"SCZ069"
"Canal Isuto","CIS",-17.76807,-63.1902,"SCZ009"
"Canal Universitario","CUN",-17.77776,-63.1961,""
"Canandoa","CND",-16.40408,-63.86328,""
"Canasmoro","CMO",-21.35223,-64.7561,""
"Cañaverales","CAV",-17.85945,-63.1123,""
"Cancha Forno","CFR",-16.49699,-68.10755,"LPZ311"
"Candelaria","CAD",-18.62863,-58.96074,""
"Candua","CDU",-19.81857,-63.98552,""
"Canon Oculto","CAO",-21.97256,-63.6274,""
"Cap Victor Ustariz","UST",-17.39612,-66.18235,"CBB613"
"Capaja","CAP",-17.40144,-67.77872,""
"Capinota","CPN",-17.71606,-66.26381,""
"Capitan Plaza","CPL",-21.54226,-64.74162,"TRJ101"
"Caquiaviri","CAQ",-17.02327,-68.607,""
"Caracollo","CAR",-17.64091,-67.22354,""
